Original Name,Bacteria Name (species),Kingdom,Phylum,Class,Order,Family,Genus,Other
g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390,Anaerotruncus_sp._CAG:390,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,
g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus,Lawsonibacter_asaccharolyticus,Bacillati,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Lawsonibacter,
g__Enterobacter.s__Enterobacter_asburiae,Enterobacter_asburiae,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,
g__Eggerthella.s__Eggerthella_lenta,Eggerthella_lenta,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,
g__Alistipes.s__Alistipes_onderdonkii,Alistipes_onderdonkii,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
g__Prevotella.s__Prevotella_sp_CAG_5226,Prevotella_sp._CAG:5226,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
g__Bacteroides.s__Bacteroides_massiliensis,Phocaeicola_massiliensis,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
g__Streptococcus.s__Streptococcus_infantarius,Streptococcus_infantarius,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
g__Bacteroides.s__Bacteroides_stercorirosoris,Bacteroides_stercorirosoris,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
g__Coprococcus.s__Coprococcus_catus,Coprococcus_catus,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,
g__Prevotella.s__Prevotella_sp_885,Prevotella_sp._885,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
