Sample,Non_Zero_Bacteria_Count
SRS011061,27
SRS011084,45
SRS011086,53
SRS011090,34
SRS011098,51
SRS011105,10
SRS011111,27
SRS011115,81
SRS011126,92
SRS011132,1
SRS011134,66
SRS011140,87
SRS011144,44
SRS011152,92
SRS011239,49
SRS011243,63
SRS011247,59
SRS011255,92
SRS011263,3
SRS011269,5
SRS011271,59
SRS011302,50
SRS011306,62
SRS011310,53
SRS011343,72
SRS011355,1
SRS011397,17
SRS011405,32
SRS011452,18
SRS011529,61
SRS011584,1
SRS011586,45
SRS012273,75
SRS012279,74
SRS012281,17
SRS012285,78
SRS012291,1
SRS012294,1
SRS012663,6
SRS012902,21
SRS013155,5
SRS013158,31
SRS013164,73
SRS013170,99
SRS013215,18
SRS013234,67
SRS013239,37
SRS013252,70
SRS013258,5
SRS013261,6
SRS013269,2
SRS013476,47
SRS013502,70
SRS013506,39
SRS013521,38
SRS013533,121
SRS013542,8
SRS013637,1
SRS013687,55
SRS013705,80
SRS013711,87
SRS013723,97
SRS013800,43
SRS013818,90
SRS013825,59
SRS013836,127
SRS013876,8
SRS013879,60
SRS013881,48
SRS013942,72
SRS013945,44
SRS013946,19
SRS013947,68
SRS013948,67
SRS013949,74
SRS013950,95
SRS013951,56
SRS013956,2
SRS014107,58
SRS014124,58
SRS014126,24
SRS014235,62
SRS014271,80
SRS014287,49
SRS014313,29
SRS014343,5
SRS014459,57
SRS014464,3
SRS014465,4
SRS014466,3
SRS014468,50
SRS014470,68
SRS014472,29
SRS014473,33
SRS014474,62
SRS014475,24
SRS014476,99
SRS014477,74
SRS014494,5
SRS014573,82
SRS014575,45
SRS014578,74
SRS014613,39
SRS014629,1
SRS014682,8
SRS014683,50
SRS014684,53
SRS014686,47
SRS014687,10
SRS014689,52
SRS014690,59
SRS014691,89
SRS014692,73
SRS014888,75
SRS014890,23
SRS014894,53
SRS014901,7
SRS014923,63
SRS014979,50
SRS015038,61
SRS015040,44
SRS015044,88
SRS015051,1
SRS015054,4
SRS015055,93
SRS015057,63
SRS015059,21
SRS015060,46
SRS015061,57
SRS015062,20
SRS015063,47
SRS015065,56
SRS015071,3
SRS015072,2
SRS015073,2
SRS015133,47
SRS015154,57
SRS015158,67
SRS015168,2
SRS015190,37
SRS015209,51
SRS015215,97
SRS015217,67
SRS015225,4
SRS015264,58
SRS015269,4
SRS015272,45
SRS015274,34
SRS015278,68
SRS015369,20
SRS015374,22
SRS015378,33
SRS015381,5
SRS015395,58
SRS015425,1
SRS015430,1
SRS015434,82
SRS015436,68
SRS015440,60
SRS015450,1
SRS015470,65
SRS015537,52
SRS015574,88
SRS015578,61
SRS015640,2
SRS015644,56
SRS015646,32
SRS015650,49
SRS015663,60
SRS015745,68
SRS015752,5
SRS015755,71
SRS015762,92
SRS015782,63
SRS015793,5
SRS015794,42
SRS015797,59
SRS015799,32
SRS015803,75
SRS015854,51
SRS015893,59
SRS015895,42
SRS015899,50
SRS015921,45
SRS015937,8
SRS015941,61
SRS015947,40
SRS015960,41
SRS015985,57
SRS015989,52
SRS015996,5
SRS016002,55
SRS016018,37
SRS016033,2
SRS016037,55
SRS016039,54
SRS016043,78
SRS016056,28
SRS016086,50
SRS016088,21
SRS016092,35
SRS016095,50
SRS016105,1
SRS016111,1
SRS016188,4
SRS016191,2
SRS016196,33
SRS016200,54
SRS016203,33
SRS016225,65
SRS016267,38
SRS016292,5
SRS016297,56
SRS016319,69
SRS016331,90
SRS016335,55
SRS016342,81
SRS016349,53
SRS016360,74
SRS016434,3
SRS016495,50
SRS016501,49
SRS016503,23
SRS016513,2
SRS016516,1
SRS016529,49
SRS016533,22
SRS016541,60
SRS016553,2
SRS016559,1
SRS016569,65
SRS016575,98
SRS016581,3
SRS016584,2
SRS016585,19
SRS016600,51
SRS016740,85
SRS016746,93
SRS016752,9
SRS016753,29
SRS016944,7
SRS016954,43
SRS016989,36
SRS017007,65
SRS017013,51
SRS017025,64
SRS017044,5
SRS017076,65
SRS017080,66
SRS017088,54
SRS017103,53
SRS017120,69
SRS017127,23
SRS017139,85
SRS017156,3
SRS017191,41
SRS017209,80
SRS017215,67
SRS017227,111
SRS017244,1
SRS017247,25
SRS017304,62
SRS017307,42
SRS017433,51
SRS017439,84
SRS017441,43
SRS017445,65
SRS017451,7
SRS017497,7
SRS017511,105
SRS017520,2
SRS017521,67
SRS017533,100
SRS017537,29
SRS017687,71
SRS017691,116
SRS017697,4
SRS017700,2
SRS017701,39
SRS017713,75
SRS017808,92
SRS017810,92
SRS017814,55
SRS017820,6
SRS017821,47
SRS017849,28
SRS017851,10
SRS018133,30
SRS018145,59
SRS018149,56
SRS018157,87
SRS018300,70
SRS018312,1
SRS018313,33
SRS018329,47
SRS018337,58
SRS018351,37
SRS018357,84
SRS018359,63
SRS018369,4
SRS018394,71
SRS018427,46
SRS018439,76
SRS018443,72
SRS018463,4
SRS018569,34
SRS018573,72
SRS018575,29
SRS018585,3
SRS018591,50
SRS018656,33
SRS018661,53
SRS018665,90
SRS018671,2
SRS018739,95
SRS018769,1
SRS018778,28
SRS018784,2
SRS018791,53
SRS018817,42
SRS018969,65
SRS018971,55
SRS018975,61
SRS018978,11
SRS018981,3
SRS019015,8
SRS019016,12
SRS019019,3
SRS019022,64
SRS019024,37
SRS019025,53
SRS019026,84
SRS019027,65
SRS019028,81
SRS019029,119
SRS019030,50
SRS019033,8
SRS019039,5
SRS019045,66
SRS019063,6
SRS019064,7
SRS019067,4
SRS019071,74
SRS019073,62
SRS019077,64
SRS019081,5
SRS019087,1
SRS019116,4
SRS019119,9
SRS019120,89
SRS019122,58
SRS019124,45
SRS019125,18
SRS019126,74
SRS019127,62
SRS019128,100
SRS019129,94
SRS019161,56
SRS019215,0
SRS019219,61
SRS019221,30
SRS019225,62
SRS019267,33
SRS019327,70
SRS019329,49
SRS019333,49
SRS019339,2
SRS019379,2
SRS019386,6
SRS019387,60
SRS019389,57
SRS019391,26
SRS019397,34
SRS019582,56
SRS019587,51
SRS019591,62
SRS019597,4
SRS019600,1
SRS019601,49
SRS019607,62
SRS019685,51
SRS019787,30
SRS019867,6
SRS019872,44
SRS019894,62
SRS019906,75
SRS019910,48
SRS019968,38
SRS019974,83
SRS019976,48
SRS019980,99
SRS019986,7
SRS019989,3
SRS020220,89
SRS020222,70
SRS020226,90
SRS020232,8
SRS020233,69
SRS020261,8
SRS020263,14
SRS020328,53
SRS020334,72
SRS020336,32
SRS020340,68
SRS020349,2
SRS020386,11
SRS020856,64
SRS020858,45
SRS020862,40
SRS020868,4
SRS020869,56
SRS021473,58
SRS021477,86
SRS021483,1
SRS021484,45
SRS021496,70
SRS021948,56
SRS021954,63
SRS021960,69
SRS021969,2
SRS021986,39
SRS022006,7
SRS022071,57
SRS022077,73
SRS022079,27
SRS022083,72
SRS022092,1
SRS022129,6
SRS022137,43
SRS022143,77
SRS022145,42
SRS022149,95
SRS022158,2
SRS022524,55
SRS022530,68
SRS022532,36
SRS022536,84
SRS022545,2
SRS022602,104
SRS022609,56
SRS022621,80
SRS022625,79
SRS022645,2
SRS022713,43
SRS022719,83
SRS022721,55
SRS022725,84
SRS022734,3
