bacterium_1,bacterium_2,label_1,label_2,are_brothers,distance,bacterium_1_name,bacterium_2_name
0,43,Eubacteriales,Lachnospirales,False,0.96422327,g__Anaerotruncus.s__Anaerotruncus_sp_CAG_390,g__Blautia.s__Blautia_sp_N6H1_15
1,52,Eubacteriales,Eubacteriales,True,0.97934264,g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus,g__Gemmiger.s__Gemmiger_formicilis
2,60,Enterobacterales,Pasteurellales,False,0.9364091,g__Enterobacter.s__Enterobacter_asburiae,g__Haemophilus.s__Haemophilus_parainfluenzae
3,35,Eggerthellales,Desulfovibrionales,False,0.9711032,g__Eggerthella.s__Eggerthella_lenta,g__Desulfovibrio.s__Desulfovibrio_fairfieldensis
4,40,Bacteroidales,Bacteroidales,True,0.9974821,g__Alistipes.s__Alistipes_onderdonkii,g__Barnesiella.s__Barnesiella_intestinihominis
5,10,Bacteroidales,Bacteroidales,True,0.98969,g__Prevotella.s__Prevotella_sp_CAG_5226,g__Prevotella.s__Prevotella_sp_885
6,33,Bacteroidales,Bacteroidales,True,0.95346487,g__Bacteroides.s__Bacteroides_massiliensis,g__Bacteroides.s__Bacteroides_stercoris
7,48,Lactobacillales,Lactobacillales,True,0.9880858,g__Streptococcus.s__Streptococcus_infantarius,g__Streptococcus.s__Streptococcus_lutetiensis
8,27,Bacteroidales,Bacteroidales,True,0.98888534,g__Bacteroides.s__Bacteroides_stercorirosoris,g__Bacteroides.s__Bacteroides_plebeius
9,58,Lachnospirales,Lachnospirales,True,0.967991,g__Coprococcus.s__Coprococcus_catus,g__Blautia.s__Blautia_sp_AF19_10LB
10,5,Bacteroidales,Bacteroidales,True,0.98969,g__Prevotella.s__Prevotella_sp_885,g__Prevotella.s__Prevotella_sp_CAG_5226
11,59,Bacteroidales,Bacteroidales,True,0.99665207,g__Alistipes.s__Alistipes_sp_CAG_268,g__Prevotella.s__Prevotella_sp_CAG_279
12,15,Eubacteriales,Eubacteriales,True,0.9384099,g__Clostridium.s__Clostridium_sp_CAG_242,g__Ruminococcus.s__Ruminococcus_sp_CAG_177
13,26,Eubacteriales,Lachnospirales,False,0.9440818,g__Clostridium.s__Clostridium_sp_CAG_122,g__Blautia.s__Blautia_producta
