,0,1
10000,UniRef90_P06223,g__Klebsiella.s__Klebsiella_quasipneumoniae
10001,UniRef90_P06223,g__Raoultella.s__Raoultella_ornithinolytica
10002,UniRef90_P06223,g__Klebsiella.s__Klebsiella_variicola
10003,UniRef90_P06223,g__Klebsiella.s__Klebsiella_pneumoniae
10004,UniRef90_P06223,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10007,UniRef90_A0A336JCW6,g__Klebsiella.s__Klebsiella_pneumoniae
10009,UniRef90_A0A376VEN3,g__Klebsiella.s__Klebsiella_pneumoniae
10010,UniRef90_A0A376VEN3,g__Escherichia.s__Escherichia_coli
10012,UniRef90_A0A2S1JAT5,g__Klebsiella.s__Klebsiella_quasipneumoniae
10013,UniRef90_A0A2S1JAT5,g__Escherichia.s__Escherichia_coli
10014,UniRef90_A0A2S1JAT5,g__Klebsiella.s__Klebsiella_pneumoniae
10016,UniRef90_B7MN46,g__Escherichia.s__Escherichia_coli
10018,UniRef90_V7IVU2,g__Klebsiella.s__Klebsiella_pneumoniae
10019,UniRef90_V7IVU2,g__Klebsiella.s__Klebsiella_variicola
10023,UniRef90_A0A2Y0PDF2,g__Escherichia.s__Escherichia_coli
10024,UniRef90_A0A2Y0PDF2,g__Klebsiella.s__Klebsiella_pneumoniae
10026,UniRef90_A4WFK8,g__Klebsiella.s__Klebsiella_pneumoniae
10028,UniRef90_A4WFK8,g__Escherichia.s__Escherichia_coli
10030,UniRef90_E9THY0,g__Escherichia.s__Escherichia_coli
10036,UniRef90_A0A0T5XDW5,g__Escherichia.s__Escherichia_coli
10037,UniRef90_A0A0T5XDW5,g__Klebsiella.s__Klebsiella_pneumoniae
10039,UniRef90_A0A0U1B360,g__Enterococcus.s__Enterococcus_faecium
10040,UniRef90_A0A0U1B360,g__Enterococcus.s__Enterococcus_faecalis
10042,UniRef90_D7X327,g__Escherichia.s__Escherichia_coli
10046,UniRef90_A0A0T5XPU5,g__Klebsiella.s__Klebsiella_pneumoniae
10047,UniRef90_A0A0T5XPU5,g__Escherichia.s__Escherichia_coli
10050,UniRef90_A0A377JZM9,g__Escherichia.s__Escherichia_coli
10055,UniRef90_A0A0H2YW11,g__Escherichia.s__Escherichia_coli
10057,UniRef90_A0A0T5XLU4,g__Klebsiella.s__Klebsiella_pneumoniae
10060,UniRef90_A0A222ASJ1,g__Klebsiella.s__Klebsiella_variicola
10061,UniRef90_A0A222ASJ1,g__Escherichia.s__Escherichia_coli
10062,UniRef90_A0A222ASJ1,g__Klebsiella.s__Klebsiella_quasipneumoniae
10063,UniRef90_A0A222ASJ1,g__Raoultella.s__Raoultella_ornithinolytica
10065,UniRef90_A0A222ASJ1,g__Klebsiella.s__Klebsiella_pneumoniae
10071,UniRef90_A0A0H2VDJ2,g__Escherichia.s__Escherichia_coli
10073,UniRef90_A0A2H4TQ44,g__Escherichia.s__Escherichia_coli
10075,UniRef90_D7Y5E0,g__Escherichia.s__Escherichia_coli
10077,UniRef90_A0A0E2LIZ1,g__Escherichia.s__Escherichia_coli
10079,UniRef90_A7ZHA4,g__Raoultella.s__Raoultella_ornithinolytica
10080,UniRef90_A7ZHA4,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10081,UniRef90_A7ZHA4,g__Klebsiella.s__Klebsiella_variicola
10082,UniRef90_A7ZHA4,g__Escherichia.s__Escherichia_coli
10083,UniRef90_A7ZHA4,g__Klebsiella.s__Klebsiella_pneumoniae
10084,UniRef90_A7ZHA4,g__Klebsiella.s__Klebsiella_quasipneumoniae
10092,UniRef90_A0A0H2VAL0,g__Escherichia.s__Escherichia_coli
10094,UniRef90_A0A0M7DP64,g__Klebsiella.s__Klebsiella_pneumoniae
10097,UniRef90_A0A2R4PGE1,g__Klebsiella.s__Klebsiella_pneumoniae
10098,UniRef90_A0A2R4PGE1,g__Raoultella.s__Raoultella_ornithinolytica
10099,UniRef90_A0A2R4PGE1,g__Klebsiella.s__Klebsiella_quasipneumoniae
10100,UniRef90_A0A2R4PGE1,g__Klebsiella.s__Klebsiella_variicola
10101,UniRef90_A0A2R4PGE1,g__Escherichia.s__Escherichia_coli
10103,UniRef90_A0A0T5XLA8,g__Escherichia.s__Escherichia_coli
10104,UniRef90_A0A0T5XLA8,g__Klebsiella.s__Klebsiella_pneumoniae
10107,UniRef90_A0A1M3S119,g__Escherichia.s__Escherichia_coli
10109,UniRef90_A0A0I2EWV4,g__Escherichia.s__Escherichia_coli
10111,UniRef90_H4KN05,g__Escherichia.s__Escherichia_coli
10115,UniRef90_A0A0P7NCN9,g__Escherichia.s__Escherichia_coli
10116,UniRef90_A0A0P7NCN9,g__Klebsiella.s__Klebsiella_pneumoniae
10118,UniRef90_A0A2I6FMP3,g__Escherichia.s__Escherichia_coli
10124,UniRef90_A0A1Q9KX40,g__Escherichia.s__Escherichia_coli
10126,UniRef90_A0A2P9E084,g__Klebsiella.s__Klebsiella_pneumoniae
10127,UniRef90_A0A2P9E084,g__Klebsiella.s__Klebsiella_quasipneumoniae
10128,UniRef90_A0A2P9E084,g__Raoultella.s__Raoultella_ornithinolytica
10129,UniRef90_A0A2P9E084,g__Klebsiella.s__Klebsiella_variicola
10130,UniRef90_A0A2P9E084,g__Escherichia.s__Escherichia_coli
10132,UniRef90_A0A0T5XR24,g__Klebsiella.s__Klebsiella_pneumoniae
10133,UniRef90_A0A0T5XR24,g__Escherichia.s__Escherichia_coli
10136,UniRef90_A0A0T5XE60,g__Klebsiella.s__Klebsiella_pneumoniae
10138,UniRef90_A0A0T5XE60,g__Escherichia.s__Escherichia_coli
10140,UniRef90_P43019,g__Klebsiella.s__Klebsiella_quasipneumoniae
10141,UniRef90_P43019,g__Escherichia.s__Escherichia_coli
10142,UniRef90_P43019,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10143,UniRef90_P43019,g__Raoultella.s__Raoultella_ornithinolytica
10144,UniRef90_P43019,g__Klebsiella.s__Klebsiella_pneumoniae
10145,UniRef90_P43019,g__Klebsiella.s__Klebsiella_variicola
10147,UniRef90_V7ZKM1,g__Enterococcus.s__Enterococcus_faecalis
10149,UniRef90_A0A0U4KIX1,g__Escherichia.s__Escherichia_coli
10151,UniRef90_A0A166YW40,g__Escherichia.s__Escherichia_coli
10152,UniRef90_A0A166YW40,g__Klebsiella.s__Klebsiella_pneumoniae
10153,UniRef90_A0A166YW40,g__Klebsiella.s__Klebsiella_variicola
10158,UniRef90_A0A0T5XNG9,g__Klebsiella.s__Klebsiella_pneumoniae
10159,UniRef90_A0A0T5XNG9,g__Escherichia.s__Escherichia_coli
10163,UniRef90_V0XPR4,g__Escherichia.s__Escherichia_coli
10165,UniRef90_A0A090V5V8,g__Escherichia.s__Escherichia_coli
10167,UniRef90_A0A0T5XHP9,g__Escherichia.s__Escherichia_coli
10168,UniRef90_A0A0T5XHP9,g__Klebsiella.s__Klebsiella_pneumoniae
10173,UniRef90_V3DFG9,g__Escherichia.s__Escherichia_coli
10176,UniRef90_W8T0X0,g__Escherichia.s__Escherichia_coli
10178,UniRef90_UPI000BA4B56F,g__Escherichia.s__Escherichia_coli
10180,UniRef90_P45795,g__Klebsiella.s__Klebsiella_pneumoniae
10181,UniRef90_P45795,g__Escherichia.s__Escherichia_coli
10185,UniRef90_I0VUR8,g__Escherichia.s__Escherichia_coli
10187,UniRef90_B0LHG4,g__Klebsiella.s__Klebsiella_pneumoniae
10188,UniRef90_B0LHG4,g__Escherichia.s__Escherichia_coli
10191,UniRef90_A0A0T5XKA4,g__Escherichia.s__Escherichia_coli
10192,UniRef90_A0A0T5XKA4,g__Klebsiella.s__Klebsiella_variicola
10193,UniRef90_A0A0T5XKA4,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10194,UniRef90_A0A0T5XKA4,g__Klebsiella.s__Klebsiella_pneumoniae
10195,UniRef90_A0A0T5XKA4,g__Raoultella.s__Raoultella_ornithinolytica
10196,UniRef90_A0A0T5XKA4,g__Klebsiella.s__Klebsiella_quasipneumoniae
10198,UniRef90_A0A0H2Z615,g__Escherichia.s__Escherichia_coli
10200,UniRef90_V0V646,g__Escherichia.s__Escherichia_coli
10203,UniRef90_A0A0T5XME4,g__Klebsiella.s__Klebsiella_pneumoniae
10204,UniRef90_A0A0T5XME4,g__Escherichia.s__Escherichia_coli
10207,UniRef90_D6DAB3,g__Bifidobacterium.s__Bifidobacterium_breve
10208,UniRef90_D6DAB3,g__Bifidobacterium.s__Bifidobacterium_longum
10212,UniRef90_A0A0T5XGC0,g__Escherichia.s__Escherichia_coli
10213,UniRef90_A0A0T5XGC0,g__Klebsiella.s__Klebsiella_pneumoniae
10216,UniRef90_A0A066SXL8,g__Escherichia.s__Escherichia_coli
10217,UniRef90_A0A066SXL8,g__Raoultella.s__Raoultella_ornithinolytica
10218,UniRef90_A0A066SXL8,g__Klebsiella.s__Klebsiella_variicola
10219,UniRef90_A0A066SXL8,g__Klebsiella.s__Klebsiella_pneumoniae
10220,UniRef90_A0A066SXL8,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10223,UniRef90_A0A0T5XRN7,g__Klebsiella.s__Klebsiella_pneumoniae
10225,UniRef90_A0A0T5XRN7,g__Escherichia.s__Escherichia_coli
10229,UniRef90_UPI000B43A2CF,g__Escherichia.s__Escherichia_coli
10233,UniRef90_A0A2H4TQ61,g__Escherichia.s__Escherichia_coli
10235,UniRef90_A0A0T5XL96,g__Klebsiella.s__Klebsiella_pneumoniae
10236,UniRef90_A0A0T5XL96,g__Escherichia.s__Escherichia_coli
10238,UniRef90_A0A1M3RRA4,g__Escherichia.s__Escherichia_coli
10239,UniRef90_A0A1M3RRA4,g__Klebsiella.s__Klebsiella_pneumoniae
10241,UniRef90_A0A376VYP0,g__Escherichia.s__Escherichia_coli
10248,UniRef90_A0A0T5XLI1,g__Klebsiella.s__Klebsiella_pneumoniae
10249,UniRef90_A0A0T5XLI1,g__Escherichia.s__Escherichia_coli
10252,UniRef90_A0A377N0I3,g__Escherichia.s__Escherichia_coli
10254,UniRef90_UPI000CD40C1F,g__Escherichia.s__Escherichia_coli
10258,UniRef90_A0A378H2B6,g__Klebsiella.s__Klebsiella_pneumoniae
